model,subject_id,threshold_used,neutral_label_removed,best_params,mae,rmse,r2
SVM,22,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.840590187928776,1.0658139165722298,-0.19906815502342678
SVM,23,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.9177926104724449,1.1049481731432633,-0.2887388245177813
SVM,24,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",1.1479047091065204,1.3098762510220343,-0.8167037808145705
SVM,25,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.8805883605621139,1.1310563658630264,-0.35036008624590287
SVM,26,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.8209712984739174,0.9632844598322526,0.023245315205984385
SVM,27,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.9347730832624654,1.0593391160822858,-0.18126248722315674
SVM,28,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.6899843107787432,0.8878255247483695,0.16797505080557573
SVM,29,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.9420360968692174,1.103195382346179,-0.2846533878315949
SVM,30,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.6605331244698293,0.8917301650913878,0.16064049670309088
SVM,31,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.9513627259351397,1.1113101757764332,-0.3076579718892023
SVM,32,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.811654228508318,0.9063109033869443,0.13296724342427113
SVM,33,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.7421619212494256,0.8866022401055493,0.17026627160870078
SVM,34,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.9908094742013424,1.189833723647769,-0.49435452825893256
SVM,35,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.7418508019804568,0.9832273715481813,-0.023602891465165587
SVM,36,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.7961276586135019,1.0173899383216656,-0.08956030168227613
SVM,37,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.9272221026930145,1.183516922533031,-0.48825682504218504
SVM,38,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.7654792708378122,0.8846579501713724,0.17618980126166905
SVM,39,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.830853487771195,0.9893016197518907,-0.033090900112809685
SVM,40,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.9768288718496028,1.1592115068560538,-0.41842527971789867
SVM,41,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.8089492266643304,1.0038651886698948,-0.06078454423499324
SVM,42,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.6987158651047118,1.000779032430211,-0.06047388773735829
SVM,43,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.7672361470628549,0.920176325252458,0.10623528213626499
SVM,44,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.8382804650594018,1.0870674636542903,-0.21647201378682346
