model,subject_id,threshold_used,neutral_label_removed,best_params,mae,rmse,r2
SVM,22,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",1.3365397624798596,1.7044171568950313,0.08068422635501848
SVM,23,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",1.6091962072080315,1.9978564471901268,-0.1705074438648555
SVM,24,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",1.712432612289205,2.0657782895160803,-0.09702826257994412
SVM,25,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",1.8693072813507547,2.0255097213881035,-0.6745671965051885
SVM,26,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",1.7733141506394243,2.20442782352162,0.06727408270321167
SVM,27,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",1.6427009609328764,1.9324647590741093,-0.5495518859184045
SVM,28,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",1.698833407749034,1.9977427180940397,-0.34830269178978446
SVM,29,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",1.7399749575735146,1.914939285119323,-0.32862045858453026
SVM,30,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",1.4221783925246967,1.7457749156797293,0.0929374832688793
SVM,31,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",1.6418543953059597,1.97837467369391,-1.372100817886961
SVM,32,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",2.1813211524009075,2.5818277555807856,-0.6297884008526446
SVM,33,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",1.682918925045201,2.241492215801857,-3.6094379389911166
SVM,34,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",1.3056107024258414,1.5529338798389634,0.24637386401509498
SVM,35,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",1.7175009189809642,2.0683872122411637,-0.590418460878354
SVM,36,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",2.2528165488611847,2.41007921927056,-5.526384093437969
