model,subject_id,threshold_used,neutral_label_removed,best_params,acc,f1,precision,recall
SVM,22,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.5301204819277109,0.1702127659574468,0.4,0.10810810810810811
SVM,23,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.6265060240963856,0.24390243902439024,0.35714285714285715,0.18518518518518517
SVM,24,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.3902439024390244,0.1935483870967742,0.3157894736842105,0.13953488372093023
SVM,25,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.7108433734939759,0.07692307692307693,0.06666666666666667,0.09090909090909091
SVM,26,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.6144578313253012,0.23809523809523808,0.19230769230769232,0.3125
SVM,27,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.5357142857142857,0.5979381443298969,0.6304347826086957,0.5686274509803921
SVM,28,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.7317073170731707,0.35294117647058826,0.3333333333333333,0.375
SVM,29,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.6024096385542169,0.1951219512195122,0.23529411764705882,0.16666666666666666
SVM,30,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.7073170731707317,0.4782608695652174,0.36666666666666664,0.6875
SVM,31,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.7926829268292683,0.19047619047619047,0.11764705882352941,0.5
SVM,32,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.3493975903614458,0.25,0.9,0.14516129032258066
SVM,33,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.8780487804878049,0.0,0.0,0.0
SVM,34,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.4939759036144578,0.5714285714285714,0.6829268292682927,0.49122807017543857
SVM,35,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.6097560975609756,0.1111111111111111,0.06451612903225806,0.4
SVM,36,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.8571428571428571,0.0,0.0,0.0
SVM,37,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.0684931506849315,0.1282051282051282,1.0,0.0684931506849315
SVM,38,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.5476190476190477,0.17391304347826086,0.4444444444444444,0.10810810810810811
SVM,39,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.7710843373493976,0.0,0.0,0.0
SVM,40,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.8072289156626506,0.0,0.0,0.0
SVM,41,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.5833333333333334,0.33962264150943394,0.2903225806451613,0.4090909090909091
SVM,42,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.20987654320987653,0.13513513513513514,0.7142857142857143,0.07462686567164178
SVM,43,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.6987951807228916,0.07407407407407407,0.058823529411764705,0.1
SVM,44,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.48872180451127817,0.5903614457831325,0.7101449275362319,0.5051546391752577
SVM,45,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.7108433734939759,0.14285714285714285,0.08695652173913043,0.4
SVM,46,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.47560975609756095,0.0851063829787234,0.1111111111111111,0.06896551724137931
SVM,47,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.24390243902439024,0.27906976744186046,0.8,0.16901408450704225
