model,subject_id,threshold_used,neutral_label_removed,best_params,acc,f1,precision,recall
SVM,22,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.5789473684210527,0.2619047619047619,0.3055555555555555,0.22916666666666666
SVM,23,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.5789473684210527,0.4566666666666667,0.6309523809523809,0.43939393939393945
SVM,24,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.2222222222222222,0.15654520917678813,0.17777777777777778,0.14166666666666666
SVM,25,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.42105263157894735,0.2916666666666667,0.33809523809523806,0.2948717948717949
SVM,26,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.35,0.2657952069716776,0.2738095238095238,0.3212121212121212
SVM,27,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.45,0.3156565656565657,0.4791666666666667,0.36574074074074076
SVM,28,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.3157894736842105,0.16,0.10526315789473684,0.3333333333333333
SVM,29,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.3684210526315789,0.24761904761904763,0.27777777777777773,0.3383838383838384
SVM,30,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.5263157894736842,0.3790849673202614,0.404040404040404,0.4069264069264069
SVM,31,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.2777777777777778,0.17543859649122806,0.16666666666666666,0.1851851851851852
SVM,32,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.21052631578947367,0.16209150326797386,0.25757575757575757,0.1923076923076923
SVM,33,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.2631578947368421,0.220211161387632,0.34722222222222215,0.17777777777777778
SVM,34,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.5263157894736842,0.25641025641025644,0.3333333333333333,0.20833333333333334
SVM,35,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.3333333333333333,0.298989898989899,0.5555555555555555,0.2222222222222222
SVM,36,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.5,0.2298850574712644,0.3333333333333333,0.17543859649122806
SVM,37,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.11764705882352941,0.08333333333333333,0.047619047619047616,0.3333333333333333
SVM,38,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.5,0.41333333333333333,0.4253968253968254,0.4555555555555555
SVM,39,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.21052631578947367,0.14814814814814814,0.21794871794871795,0.18095238095238098
SVM,40,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.47368421052631576,0.4602272727272727,0.6153846153846154,0.6875
SVM,41,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.4,0.24615384615384617,0.2420634920634921,0.27777777777777773
SVM,42,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.4444444444444444,0.21333333333333335,0.3333333333333333,0.1568627450980392
SVM,43,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.2631578947368421,0.1388888888888889,0.10416666666666667,0.20833333333333334
