model,subject_id,threshold_used,neutral_label_removed,best_params,acc,f1,precision,recall
SVM,22,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.5263157894736842,0.2380952380952381,0.2777777777777778,0.20833333333333334
SVM,23,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.5789473684210527,0.4463492063492063,0.49206349206349204,0.43939393939393945
SVM,24,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.4444444444444444,0.3111111111111111,0.3666666666666667,0.2833333333333333
SVM,25,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.47368421052631576,0.31547619047619047,0.4666666666666666,0.4102564102564103
SVM,26,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.45,0.3323013415892673,0.3194444444444444,0.4181818181818182
SVM,27,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.45,0.34385964912280703,0.34848484848484845,0.3611111111111111
SVM,28,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.3684210526315789,0.23737373737373735,0.2916666666666667,0.3666666666666667
SVM,29,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.21052631578947367,0.12121212121212122,0.08333333333333333,0.2222222222222222
SVM,30,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.3157894736842105,0.21666666666666667,0.23589743589743592,0.2510822510822511
SVM,31,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.16666666666666666,0.13968253968253966,0.18888888888888888,0.1111111111111111
SVM,32,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.21052631578947367,0.13333333333333333,0.09523809523809523,0.2222222222222222
SVM,33,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.3684210526315789,0.29971988795518206,0.4166666666666667,0.24814814814814815
SVM,34,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.21052631578947367,0.16666666666666666,0.2976190476190476,0.17361111111111108
SVM,35,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.4444444444444444,0.35555555555555557,0.4444444444444444,0.2962962962962963
SVM,36,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.3,0.15384615384615385,0.2857142857142857,0.10526315789473684
SVM,37,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.058823529411764705,0.041666666666666664,0.023809523809523808,0.16666666666666666
SVM,38,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.3,0.21666666666666667,0.317948717948718,0.3111111111111111
SVM,39,5,True,"{'clf__C': 5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.21052631578947367,0.20168067226890757,0.26041666666666663,0.3357142857142857
SVM,40,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.47368421052631576,0.43452380952380953,0.5284090909090909,0.5520833333333333
SVM,41,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.2,0.202020202020202,0.23611111111111108,0.18253968253968253
SVM,42,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.2222222222222222,0.12698412698412698,0.3333333333333333,0.0784313725490196
SVM,43,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.47368421052631576,0.3140096618357488,0.37777777777777777,0.36574074074074076
SVM,44,5,True,"{'clf__C': 10, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.11428571428571428,0.11942959001782531,0.3055555555555555,0.10000000000000002
