model,subject_id,threshold_used,neutral_label_removed,best_params,acc,f1,precision,recall
SVM,22,5,True,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.4090909090909091,0.5806451612903226,0.4090909090909091,1.0
SVM,23,5,True,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.47368421052631576,0.6428571428571429,0.5,0.9
SVM,24,5,True,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.4444444444444444,0.5833333333333334,0.4666666666666667,0.7777777777777778
SVM,25,5,True,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.631578947368421,0.631578947368421,0.6666666666666666,0.6
SVM,26,5,True,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.6666666666666666,0.6666666666666666,0.75,0.6
SVM,27,5,True,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.55,0.7096774193548387,0.55,1.0
SVM,28,5,True,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.47368421052631576,0.6153846153846154,0.5,0.8
SVM,29,5,True,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.4838709677419355,0.6,0.4444444444444444,0.9230769230769231
SVM,30,5,True,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.5862068965517241,0.625,0.5555555555555556,0.7142857142857143
SVM,31,5,True,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.5789473684210527,0.5555555555555556,0.7142857142857143,0.45454545454545453
SVM,32,5,True,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.6842105263157895,0.7692307692307693,0.625,1.0
SVM,33,5,True,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.5263157894736842,0.64,0.5333333333333333,0.8
SVM,34,5,True,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.5454545454545454,0.7058823529411765,0.5454545454545454,1.0
SVM,35,5,True,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.46153846153846156,0.5882352941176471,0.5555555555555556,0.625
